num,ID,PARTIDO
1,Abasolo,Partido.de.la.Revolución.Democrática
2,Agualeguas,Partido.Acción.Nacional
3,Allende,Partido.Acción.Nacional
4,Anáhuac,Partido.Revolucionario.Institucional
5,Apodaca,Partido.Revolucionario.Institucional
6,Aramberri,Partido.Revolucionario.Institucional
7,Bustamante,Partido.Acción.Nacional
8,Cadereyta Jiménez,Partido.Acción.Nacional
9,Cerralvo,Partido.Acción.Nacional
10,China,Partido.Acción.Nacional
11,Ciénega de Flores,Partido.de.la.Revolución.Democrática
12,Dr. Arroyo,Partido.Revolucionario.Institucional
13,Dr. Coss,Partido.Revolucionario.Institucional
14,Dr. González,Partido.del.Trabajo
15,El Carmen,Partido.Revolucionario.Institucional
16,Galeana,Partido.Revolucionario.Institucional
17,García,Candidato.Independiente
18,Gral. Bravo,Partido.Acción.Nacional
19,Gral. Escobedo,Partido.Revolucionario.Institucional
20,Gral. Terán,Partido.Acción.Nacional
21,Gral. Treviño,Partido.Acción.Nacional
22,Gral. Zaragoza,Partido.del.Trabajo
23,Gral. Zuazua,Partido.Acción.Nacional
24,Guadalupe,Partido.Acción.Nacional
25,Hidalgo,Movimiento.Ciudadano
26,Higueras,Partido.Acción.Nacional
27,Hualahuises,Partido.Revolucionario.Institucional
28,Iturbide,Partido.Revolucionario.Institucional
29,Juárez,Partido.Político.Nacional..Encuentro.Social
30,Lampazos de Naranjo,Partido.Acción.Nacional
31,Linares,Partido.Acción.Nacional
32,Los Aldamas,Partido.Revolucionario.Institucional
33,Los Herreras,Partido.Acción.Nacional
34,Los Ramones,Partido.Revolucionario.Institucional
35,Marín,Partido.Revolucionario.Institucional
36,Melchor Ocampo,Nueva.Alianza.Partido.Político.Nacional
37,Mier y Noriega,Partido.Revolucionario.Institucional
38,Mina,Partido.Revolucionario.Institucional
39,Montemorelos,Partido.Revolucionario.Institucional
40,Monterrey,Partido.Revolucionario.Institucional
41,Parás,Partido.Acción.Nacional
42,Pesquería,Partido.Revolucionario.Institucional
43,Rayones,Partido.Acción.Nacional
44,Sabinas Hidalgo,Partido.Acción.Nacional
45,Salinas Victoria,Partido.de.la.Revolución.Democrática
46,San Nicolás de los Garza,Partido.Acción.Nacional
47,San Pedro Garza García,Partido.Acción.Nacional
48,Santa Catarina,Partido.Acción.Nacional
49,Santiago,Partido.Revolucionario.Institucional
50,Vallecillo,Partido.Revolucionario.Institucional
51,Villaldama,Partido.Acción.Nacional
