ID,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente,Combinación PRI PVEM NA PD,Combinación PRI PVEM NA,Combinación PRI PVEM PD,Combinación PRI NA PD,Combinación PVEM NA PD,Combinación PRI PVEM
Abasolo,56,485,554,15,121,486,0,0,0,22,0,0,0,0,0,0,0,0,0
Agualeguas,1202,742,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allende,8078,5435,0,169,245,174,94,0,0,158,0,0,0,0,0,0,0,0,0
Anáhuac,3072,3531,0,300,86,34,119,0,0,130,2092,0,0,0,0,0,0,0,0
Apodaca,57933,66613,3054,3692,8366,18320,5684,0,0,3457,3641,0,19629,0,0,0,0,0,0
Aramberri,3068,5623,15,0,19,16,16,11,0,0,0,317,0,13,66,0,4,0,70
Bustamante,1029,811,0,0,9,0,763,0,0,23,0,0,0,0,0,0,0,0,0
Cadereyta Jiménez,11425,10753,127,320,11051,328,301,61,0,226,1204,0,0,0,0,0,0,0,0
Cerralvo,2561,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1898,864,0,0,43,0,1325,22,0,0,736,1098,0,26,29,2,3,1,22
Ciénega de Flores,1397,1816,5093,347,1512,241,988,0,0,0,365,0,0,0,0,0,0,0,0
Dr. Arroyo,8482,11544,111,132,0,0,69,0,0,0,28,20,0,0,0,0,0,0,0
Dr. Coss,716,881,0,86,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
Dr. González,630,616,6,640,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Carmen,1837,1924,244,1747,79,996,52,13,0,0,0,0,586,4,7,0,0,0,19
Galeana,3850,9268,116,413,150,0,5290,0,0,0,0,607,0,0,0,0,0,0,0
García,7409,20652,2050,904,655,1237,631,0,0,431,573,0,25557,0,0,0,0,0,0
Gral. Bravo,1985,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gral. Escobedo,25285,53692,2156,3062,5334,7632,0,0,0,0,2694,0,25805,0,0,0,0,0,0
Gral. Terán,3017,2956,0,0,32,0,77,9,0,0,1597,0,0,11,5,1,2,0,15
Gral. Treviño,810,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gral. Zaragoza,96,1717,0,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gral. Zuazua,7027,4551,610,298,0,0,0,0,0,690,0,1383,0,0,0,0,0,0,0
Guadalupe,116267,100218,3120,4918,9815,24207,7691,868,0,5798,5417,0,21107,510,234,18,5,7,712
Hidalgo,1884,1921,330,55,106,2227,47,11,0,233,111,1271,0,16,11,2,0,0,38
Higueras,520,471,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
Hualahuises,1614,1862,0,0,0,0,238,0,0,0,0,0,388,0,0,0,0,0,0
Iturbide,1156,1305,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Juárez,18814,25963,582,1096,1952,2411,1116,184,0,928,967,30182,0,53,86,9,1,3,299
Lampazos de Naranjo,2280,1067,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linares,20044,6293,258,138,442,177,5783,62,0,0,0,0,0,123,258,12,13,6,88
Los Aldamas,545,646,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Herreras,1017,872,0,0,8,0,52,3,0,0,0,0,0,6,8,1,0,0,1
Los Ramones,928,1288,0,0,829,0,0,0,0,7,101,0,0,0,0,0,0,0,0
Marín,837,1208,0,0,0,0,45,0,838,0,0,0,0,0,0,0,0,0,0
Melchor Ocampo,0,520,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0
Mier y Noriega,1667,2193,11,10,190,0,89,0,0,6,0,0,0,0,0,0,0,0,0
Mina,84,1462,74,367,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montemorelos,7067,12216,237,854,718,0,3142,0,0,378,0,339,1458,0,0,0,0,0,0
Monterrey,142832,160641,5452,109229,12954,42014,9448,1339,0,8608,14326,18276,0,290,209,19,9,9,695
Parás,920,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pesquería,1000,6659,252,0,5100,165,91,0,0,64,0,1138,0,0,0,0,0,0,0
Rayones,1411,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabinas Hidalgo,9966,6329,105,51,849,0,269,0,0,254,0,0,0,0,0,0,0,0,0
Salinas Victoria,4769,5626,5926,0,154,0,164,66,0,84,0,0,0,0,0,0,0,0,0
San Nicolás de los Garza,117780,38933,3365,3860,8480,23803,5181,563,0,4853,5058,7353,0,0,0,0,0,0,0
San Pedro Garza García,33433,10154,280,264,732,0,780,223,0,449,6355,327,11260,0,0,0,0,0,0
Santa Catarina,52096,21605,1351,1383,2946,7444,2299,160,0,1340,1557,1121,13356,18,34,2,0,1,77
Santiago,5247,8217,173,3989,205,884,162,29,0,116,552,0,1215,6,11,2,0,1,41
Vallecillo,33,725,11,692,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villaldama,1006,343,944,49,7,0,386,6,0,0,0,0,0,9,8,0,0,0,1
