ID,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente
1,34087,36359,2028,8226,5289,16412,4221,449,936,2820,3500,7279,0
2,10753,22270,802,9001,2350,3954,1531,204,333,1079,1364,4420,0
3,18912,17147,1254,4585,2535,8635,2985,233,0,1638,1746,3360,0
4,25614,14146,815,1592,1857,14931,1590,271,687,1652,1568,1444,0
5,14748,13725,669,1592,2275,5913,1171,170,340,1250,1282,2073,0
6,14555,11592,1824,1695,1559,4517,1453,291,494,1148,3402,1328,0
7,19390,10349,834,1671,1918,9198,1757,237,454,1677,1244,2437,0
8,25755,17278,840,2377,4260,12969,1752,179,600,1660,1436,0,6792
9,33836,10197,1366,1246,2856,7884,2000,176,0,1435,1628,0,6702
10,31640,11952,916,1239,4060,9545,2287,229,0,1865,1500,2546,0
11,31480,10584,1601,1871,3343,9901,2485,265,638,1832,1560,3364,0
12,26055,19748,1086,1559,3532,10915,3577,257,514,2248,1818,2151,0
13,22941,25364,1093,1448,3298,7888,3191,423,507,2037,1578,0,6814
14,33901,25319,1953,2144,6174,9929,3201,284,615,2086,2084,0,7785
15,19127,14440,786,789,4661,6002,1816,238,394,1391,1075,0,3886
16,55131,58726,4069,3779,11982,22174,6794,488,1026,4101,3449,3545,14594
17,36068,43740,3723,4265,7032,16706,5340,421,929,3138,3848,0,12655
18,29055,12020,922,710,2229,15996,1703,723,404,925,2402,885,9488
19,42100,16336,1198,1688,4529,9039,2812,554,382,2393,1898,1070,8652
20,28268,39599,11394,3988,6869,8593,4290,1714,0,2119,2808,0,13648
21,18257,10507,2034,718,751,0,1641,26,93,378,1831,0,869
22,34363,45457,1304,1884,13523,6044,3762,320,1021,1697,2241,20379,0
23,14337,16333,405,5156,11569,2265,1185,275,761,1024,2077,938,0
24,16502,20948,287,1442,1166,1895,2497,70,806,942,1208,632,0
25,15206,10149,910,204,3015,508,7799,55,746,179,224,1045,0
26,16807,31698,320,2663,633,506,4424,40,102,202,316,1423,0
